Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
22/10/2020,114.39,114.39,114.16,113.92,102.71,890,,,,,,,,,,,,,
23/10/2020,114.09,114.09,114.09,113.9,102.7,256,,,,,,,,,,,,,
26/10/2020,114.3,114.3,114.1,114.19,102.96,122,,,,,,,,,,,,,
27/10/2020,114.44,114.44,114.44,114.3,103.06,22,,,,,,,,,,,,,
28/10/2020,114.63,114.63,114.53,114.31,103.06,216,,,,,,,,,,,,,
29/10/2020,114.03,114.03,114.03,114.03,102.81,-,,,,,,,,,,,,,
30/10/2020,113.85,113.85,113.85,113.85,102.65,-,,,,,,,,,,,,,
02/11/2020,114.01,114.17,113.67,113.94,102.74,287,,,,,,,,,,,,,
03/11/2020,113.75,114.06,113.75,113.83,102.64,573,,,,,,,,,,,,,
04/11/2020,115,115.06,114.59,114.34,103.09,1125,,,,,,,,,,,,,
05/11/2020,114.64,114.64,114.64,114.6,103.33,181,,,,,,,,,,,,,
06/11/2020,115,115,114.57,114.4,103.15,132,,,,,,,,,,,,,
09/11/2020,114.2,114.2,114.09,113.92,102.71,217,,,,,,,,,,,,,
10/11/2020,114.67,114.67,113.94,113.88,102.67,3090,,,,,,,,,,,,,
11/11/2020,114.1,114.1,113.88,113.79,102.6,318,,,,,,,,,,,,,
12/11/2020,114.13,114.13,114.13,114.13,102.9,-,,,,,,,,,,,,,
13/11/2020,114.47,114.47,114.47,114.26,103.02,231,,,,,,,,,,,,,
16/11/2020,114.46,114.46,114.46,114.29,103.05,61,,,,,,,,,,,,,
17/11/2020,114.64,114.7,114.63,114.42,103.16,253,,,,,,,,,,,,,
18/11/2020,114.77,114.83,114.76,114.49,103.23,601,,,,,,,,,,,,,
19/11/2020,114.83,114.83,114.83,114.83,103.53,-,,,,,,,,,,,,,
20/11/2020,115,115,115,114.93,103.62,218,,,,,,,,,,,,,
23/11/2020,114.93,114.93,114.93,114.89,103.59,28,,,,,,,,,,,,,
24/11/2020,114.71,115.12,114.66,114.95,103.64,1756,,,,,,,,,,,,,
25/11/2020,115.04,115.04,114.81,114.86,103.56,66,,,,,,,,,,,,,
26/11/2020,114.94,114.94,114.94,114.83,103.53,293,,,,,,,,,,,,,
27/11/2020,114.97,114.97,114.97,114.97,103.66,-,,,,,,,,,,,,,
30/11/2020,114.39,115.11,114.39,114.89,103.59,5087,,,,,,,,,,,,,
01/12/2020,115.04,115.04,114.65,114.76,103.48,178,,,,,,,,,,,,,
02/12/2020,114.79,114.84,114.68,114.51,103.25,532,,,,,,,,,,,,,
03/12/2020,114.61,114.61,114.61,114.61,103.34,-,,,,,,,,,,,,,
04/12/2020,114.88,114.88,114.7,114.44,103.18,610,,,,,,,,,,,,,
07/12/2020,114.63,114.63,114.63,114.63,103.35,-,,,,,,,,,,,,,
08/12/2020,114.41,114.93,114.38,114.71,103.43,1263,,,,,,,,,,,,,
09/12/2020,114.44,114.44,114.44,114.44,103.19,-,,,,,,,,,,,,,
10/12/2020,114.65,114.74,114.65,114.64,103.36,200,,,,,,,,,,,,,
11/12/2020,114.96,114.96,114.96,114.96,103.65,-,,,,,,,,,,,,,
14/12/2020,114.79,114.79,114.76,114.79,103.49,1165,,,,,,,,,,,,,
15/12/2020,115.12,115.12,114.5,114.88,103.58,158,,,,,,,,,,,,,
16/12/2020,114.89,114.89,114.72,114.83,103.54,440,,,,,,,,,,,,,
17/12/2020,115.02,115.22,115.02,115,103.68,597,,,,,,,,,,,,,
18/12/2020,114.88,114.88,114.88,114.88,103.57,-,,,,,,,,,,,,,
21/12/2020,114.83,114.83,114.83,114.83,103.53,-,,,,,,,,,,,,,
22/12/2020,115.21,115.34,114.93,114.75,103.47,4855,,,,,,,,,,,,,
23/12/2020,115.15,115.15,115.15,114.67,103.39,500,,,,,,,,,,,,,
24/12/2020,114.85,114.85,114.85,114.85,103.55,-,,,,,,,,,,,,,
29/12/2020,115.27,115.49,115.27,115.1,103.77,32,,,,,,,,,,,,,
30/12/2020,115.09,115.22,115.09,114.9,103.6,1219,,,,,,,,,,,,,
31/12/2020,115.44,115.44,115.44,115.13,103.8,85,,,,,,,,,,,,,
04/01/2021,115.34,115.35,114.8,114.96,103.66,4130,,,,,,,,,,,,,
05/01/2021,115.14,115.18,115.13,114.83,103.54,610,,,,,,,,,,,,,
06/01/2021,114.28,114.28,114.28,114.24,103,329,,,,,,,,,,,,,
07/01/2021,114.43,114.48,114.42,114.11,102.89,500,,,,,,,,,,,,,
08/01/2021,114.01,114.19,113.81,113.81,102.61,728,,,,,,,,,,,,,
11/01/2021,113.55,114.26,113.55,113.86,102.66,213,,,,,,,,,,,,,
12/01/2021,113.72,114.07,113.72,113.78,102.58,167,,,,,,,,,,,,,
13/01/2021,114.43,114.43,114.43,114.43,103.17,786,,,,,,,,,,,,,
14/01/2021,114.5,114.59,114.5,114.43,103.17,192,,,,,,,,,,,,,
15/01/2021,114.22,114.22,114.22,114.22,102.99,-,,,,,,,,,,,,,
18/01/2021,115.07,115.07,114.15,114.25,103.02,197,,,,,,,,,,,,,
19/01/2021,114.32,114.54,114.32,114.43,103.18,722,,,,,,,,,,,,,
20/01/2021,114.54,114.54,114.19,114.42,103.16,993,,,,,,,,,,,,,
21/01/2021,114.6,114.6,113.58,114.32,103.07,2714,,,,,,,,,,,,,
22/01/2021,114.43,114.43,114.11,114.26,103.02,74,,,,,,,,,,,,,
25/01/2021,114.46,114.46,114.46,114.57,103.3,532,,,,,,,,,,,,,
26/01/2021,114.36,114.72,114.36,114.56,103.29,196,,,,,,,,,,,,,
27/01/2021,115.37,115.37,114.66,114.64,103.36,309,,,,,,,,,,,,,
28/01/2021,114.77,114.77,114.77,114.49,103.23,9,,,,,,,,,,,,,
29/01/2021,114.39,114.39,114.39,114.37,103.12,16,,,,,,,,,,,,,
01/02/2021,113.88,113.88,113.88,113.29,103.18,42,,,,,,,,,,,,,
02/02/2021,113.12,113.14,112.8,112.96,102.88,1042,,,,,,,,,,,,,
03/02/2021,113.23,113.24,113.23,113.25,103.15,254,,,,,,,,,,,,,
04/02/2021,113.1,113.1,113.05,112.9,102.83,274,,,,,,,,,,,,,
05/02/2021,113.22,113.23,113.22,113.14,103.04,1356,,,,,,,,,,,,,
08/02/2021,112.01,113.02,112.01,112.89,102.82,76,,,,,,,,,,,,,
09/02/2021,113.3,113.3,113.07,113.1,103,325,,,,,,,,,,,,,
10/02/2021,113.15,113.15,112.97,112.79,102.72,645,,,,,,,,,,,,,
11/02/2021,113.22,113.22,113.15,112.93,102.85,494,,,,,,,,,,,,,
12/02/2021,113.03,113.03,112.87,112.87,102.8,625,,,,,,,,,,,,,
15/02/2021,112.46,112.46,112.46,112.46,102.42,-,,,,,,,,,,,,,
16/02/2021,112.71,112.71,112.46,112.44,102.4,1055,,,,,,,,,,,,,
17/02/2021,112.27,112.27,112.27,112.27,102.25,-,,,,,,,,,,,,,
18/02/2021,112.37,112.6,112.14,112.43,102.4,73,,,,,,,,,,,,,
19/02/2021,112.28,112.28,112.28,112,102,132,,,,,,,,,,,,,
22/02/2021,112.37,112.37,112.37,111.79,101.81,100,,,,,,,,,,,,,
23/02/2021,112.2,112.2,111.62,111.53,101.58,106,,,,,,,,,,,,,
24/02/2021,111.01,111.01,111.01,111.28,101.35,196,,,,,,,,,,,,,
25/02/2021,111.36,111.36,111.33,110.95,101.05,88,,,,,,,,,,,,,
26/02/2021,111.13,111.13,111.03,110.83,100.94,253,,,,,,,,,,,,,
01/03/2021,111.9,111.9,111.07,111.24,101.31,144,,,,,,,,,,,,,
02/03/2021,111.25,111.47,111.02,111.28,101.35,267,,,,,,,,,,,,,
03/03/2021,111.25,111.25,111.22,111.04,101.13,110,,,,,,,,,,,,,
04/03/2021,111.23,111.23,110.37,111.06,101.15,2910,,,,,,,,,,,,,
05/03/2021,110.52,110.52,110.52,110.52,100.66,-,,,,,,,,,,,,,
08/03/2021,110.58,110.58,110.58,110.34,100.49,18,,,,,,,,,,,,,
09/03/2021,110.32,110.43,110.21,110.26,100.42,1975,,,,,,,,,,,,,
10/03/2021,110.46,110.46,110.46,110.42,100.56,118,,,,,,,,,,,,,
11/03/2021,110.34,110.65,110.34,110.52,100.66,5836,,,,,,,,,,,,,
12/03/2021,110.07,110.07,110.07,110.07,100.25,-,,,,,,,,,,,,,
15/03/2021,110.23,110.23,110.23,110.08,100.26,115,,,,,,,,,,,,,
16/03/2021,109.99,110.29,109.91,110.04,100.21,432,,,,,,,,,,,,,
17/03/2021,109.76,109.76,109.76,109.76,99.97,-,,,,,,,,,,,,,
18/03/2021,109.71,109.71,109.68,109.67,99.88,96,,,,,,,,,,,,,
19/03/2021,110.31,110.31,109.81,109.69,99.9,346,,,,,,,,,,,,,
22/03/2021,110,110,110,109.78,99.98,43,,,,,,,,,,,,,
23/03/2021,110.14,110.14,110.14,110,100.18,27,,,,,,,,,,,,,
24/03/2021,110.22,110.22,109.98,110.13,100.3,77,,,,,,,,,,,,,
25/03/2021,110.39,110.39,110.1,110.19,100.36,878,,,,,,,,,,,,,
26/03/2021,110.14,110.14,110.14,110.14,100.31,-,,,,,,,,,,,,,
29/03/2021,110.76,110.76,110.27,109.93,100.12,47,,,,,,,,,,,,,
30/03/2021,109.78,109.78,109.78,109.78,99.98,-,,,,,,,,,,,,,
31/03/2021,110.08,110.38,110.08,110.05,100.23,418,,,,,,,,,,,,,
01/04/2021,110.42,110.42,110.42,110.42,100.56,-,,,,,,,,,,,,,
06/04/2021,111.24,112.22,110.05,110.61,100.74,7635,,,,,,,,,,,,,
07/04/2021,110.68,110.88,110.68,110.52,100.66,2395,,,,,,,,,,,,,
08/04/2021,109.82,110.59,109.82,110.45,100.59,9252,,,,,,,,,,,,,
09/04/2021,110.47,110.47,110.47,110.47,100.61,-,,,,,,,,,,,,,
12/04/2021,110.47,110.77,110.37,110.36,100.51,1722,,,,,,,,,,,,,
13/04/2021,110.27,110.27,110.27,110.42,100.56,35,,,,,,,,,,,,,
14/04/2021,110.77,110.97,110.77,110.83,100.94,1280,,,,,,,,,,,,,
15/04/2021,110.82,111.09,110.82,111.08,101.17,304,,,,,,,,,,,,,
16/04/2021,111.07,111.07,111.01,110.86,100.97,5269,,,,,,,,,,,,,
19/04/2021,110.96,111.08,110.96,110.82,100.92,79,,,,,,,,,,,,,
20/04/2021,110.91,110.94,110.91,110.79,100.9,42,,,,,,,,,,,,,
21/04/2021,110.8,111.24,110.75,110.85,100.95,1354,,,,,,,,,,,,,
22/04/2021,111.12,111.12,111.12,110.99,101.08,202,,,,,,,,,,,,,
23/04/2021,111.12,111.23,111.12,110.92,101.02,1384,,,,,,,,,,,,,
26/04/2021,111.08,111.3,111.08,111.21,101.29,26,,,,,,,,,,,,,
27/04/2021,111.05,111.05,110.76,110.9,101.01,1208,,,,,,,,,,,,,
28/04/2021,110.8,110.82,110.74,110.63,100.75,123,,,,,,,,,,,,,
29/04/2021,110.62,110.75,110.61,110.75,100.87,18910,,,,,,,,,,,,,
30/04/2021,110.72,110.72,110.72,110.72,100.84,-,,,,,,,,,,,,,
04/05/2021,110.04,111.23,110.04,111,101.09,485,,,,,,,,,,,,,
05/05/2021,111.08,111.08,111.08,110.99,101.08,14,,,,,,,,,,,,,
06/05/2021,111.07,111.07,111.07,111.07,101.15,-,,,,,,,,,,,,,
07/05/2021,111.19,111.19,111.19,111.19,101.27,-,,,,,,,,,,,,,
10/05/2021,111.14,111.14,110.94,111.05,101.14,176,,,,,,,,,,,,,
11/05/2021,110.82,110.82,110.1,110.66,100.78,2269,,,,,,,,,,,,,
12/05/2021,110.37,110.37,110.37,110.37,100.52,-,,,,,,,,,,,,,
13/05/2021,110.61,110.61,110.61,110.47,100.61,29,,,,,,,,,,,,,
14/05/2021,110.8,110.8,110.72,110.7,100.82,3633,,,,,,,,,,,,,
17/05/2021,110.81,110.81,110.81,110.81,100.92,-,,,,,,,,,,,,,
18/05/2021,110.71,110.71,110.68,110.54,100.67,413,,,,,,,,,,,,,
19/05/2021,110.7,110.7,110.7,110.56,100.69,2586,,,,,,,,,,,,,
20/05/2021,110.63,110.64,110.63,110.57,100.7,587,,,,,,,,,,,,,
21/05/2021,110.57,110.85,110.45,110.61,100.74,2159,,,,,,,,,,,,,
24/05/2021,110.57,110.57,110.57,110.73,100.85,3,,,,,,,,,,,,,
25/05/2021,111.14,111.14,111.14,110.99,101.08,25,,,,,,,,,,,,,
26/05/2021,111.23,111.23,111.22,111.13,101.21,13,,,,,,,,,,,,,
27/05/2021,110.99,110.99,110.99,110.99,101.08,-,,,,,,,,,,,,,
28/05/2021,111.21,111.21,111.21,111.03,101.12,39,,,,,,,,,,,,,
01/06/2021,110.8,111.07,110.8,110.85,100.95,724,,,,,,,,,,,,,
02/06/2021,111.17,111.22,110.95,111.08,101.17,744,,,,,,,,,,,,,
03/06/2021,110.92,110.92,110.92,110.92,101.02,-,,,,,,,,,,,,,
04/06/2021,110.95,111.34,110.95,111.21,101.28,2703,,,,,,,,,,,,,
07/06/2021,111.35,111.35,111.35,111.21,101.28,10,,,,,,,,,,,,,
08/06/2021,111.52,111.52,111.52,111.38,101.44,47,,,,,,,,,,,,,
09/06/2021,111.54,111.62,111.33,111.51,101.56,1031,,,,,,,,,,,,,
10/06/2021,111.55,111.55,111.55,111.57,101.61,1000,,,,,,,,,,,,,
11/06/2021,111.92,111.92,111.92,111.7,101.73,6,,,,,,,,,,,,,
14/06/2021,111.86,111.86,111.8,111.57,101.61,136,,,,,,,,,,,,,
15/06/2021,111.64,111.64,111.64,111.55,101.59,12,,,,,,,,,,,,,
16/06/2021,111.66,111.68,111.66,111.59,101.63,4681,,,,,,,,,,,,,
17/06/2021,111.43,111.43,111.38,111.4,101.46,2907,,,,,,,,,,,,,
18/06/2021,111.75,111.91,111.75,111.67,101.7,1317,,,,,,,,,,,,,
21/06/2021,111.65,111.65,111.65,111.65,101.69,-,,,,,,,,,,,,,
22/06/2021,111.28,111.28,111.28,111.58,101.63,54,,,,,,,,,,,,,
23/06/2021,111.55,111.93,111.55,111.61,101.65,2792,,,,,,,,,,,,,
24/06/2021,111.83,111.87,111.83,111.69,101.73,635,,,,,,,,,,,,,
25/06/2021,111.61,111.8,111.61,111.42,101.48,2136,,,,,,,,,,,,,
28/06/2021,111.79,111.79,111.79,111.75,101.78,120,,,,,,,,,,,,,
29/06/2021,111.64,111.64,111.64,111.77,101.79,12,,,,,,,,,,,,,
30/06/2021,111.77,112.05,111.77,111.93,101.94,389,,,,,,,,,,,,,
