,BlackRock Multi,iShares iBoxx,BlackRock EDF,iShares 20+,Vanguard EIF,Cash
29/06/2018,8.377779007,66.64618683,12.83885098,109.837326,26.04743576,22.07254857
,,,,,,
02/07/2018,8.362061501,66.70993042,12.86166573,109.7513809,26.04743576,22.07601146
,,,,,,
03/07/2018,8.36991787,66.71779633,12.83885098,110.3392487,26.04026794,22.07716588
,,,,,,
05/07/2018,8.393498421,66.96961975,12.91870308,110.6558151,26.24835014,22.0794749
,,,,,,
06/07/2018,8.409217834,67.14270782,13.00995922,111.0175934,26.40621567,22.0806295
,,,,,,
09/07/2018,8.424936295,67.24498749,13.14684391,110.3030777,26.54972267,22.08409367
,,,,,,
10/07/2018,8.432794571,67.25284576,13.18106842,110.2940216,26.69324493,22.08524851
,,,,,,
11/07/2018,8.401357651,67.15058136,13.07269859,110.7191162,26.427742,22.08640341
,,,,,,
12/07/2018,8.424936295,67.36302185,13.15825272,110.710083,26.60713387,22.08755838
,,,,,,
13/07/2018,8.432794571,67.36302185,13.1639576,110.9904251,26.61430931,22.0887134
,,,,,,
16/07/2018,8.424936295,67.31580353,13.19817734,110.5291824,26.61430931,22.09217883
,,,,,,
17/07/2018,8.432794571,67.3394165,13.20388126,110.3211594,26.67888641,22.0933341
,,,,,,
18/07/2018,8.432794571,67.37091064,13.23240089,109.8779907,26.7075882,22.09448942
,,,,,,
19/07/2018,8.432794571,67.3394165,13.18032265,110.5744095,26.63583755,22.09564481
,,,,,,
20/07/2018,8.44065094,67.37091064,13.19176674,109.2177582,26.63583755,22.09680026
,,,,,,
23/07/2018,8.432794571,67.34729004,13.2375536,107.8701935,26.64301109,22.10026696
,,,,,,
24/07/2018,8.448513985,67.48892975,13.28333378,108.2409973,26.78652573,22.10142265
,,,,,,
25/07/2018,8.472086906,67.61480713,13.35201263,108.0691986,26.94439125,22.1025784
,,,,,,
26/07/2018,8.472086906,67.62272644,13.38063049,107.8611526,27.08790016,22.1037342
,,,,,,
27/07/2018,8.472086906,67.59909058,13.38063049,108.0420303,27.03766823,22.10489007
,,,,,,
30/07/2018,8.472086906,67.62272644,13.40352058,107.6712341,27.06637383,22.10835805
,,,,,,
31/07/2018,8.515494347,67.76434326,13.42641258,108.259079,27.19552994,22.10951416
,,,,,,
01/08/2018,8.515494347,67.82518768,13.38063049,107.3771362,27.05202293,22.11067033
,,,,,,
02/08/2018,8.523385048,67.86468506,13.38635254,107.5312195,27.06637383,22.11182656
,,,,,,
03/08/2018,8.531276703,67.91999817,13.44930458,108.0660095,27.23858452,22.11298285
,,,,,,
06/08/2018,8.531276703,68.04640961,13.48364544,108.1294708,27.28881264,22.11645209
,,,,,,
07/08/2018,8.539170265,68.07804871,13.49508953,107.5674744,27.33186913,22.11760863
,,,,,,
08/08/2018,8.539170265,68.0385437,13.50081253,107.676239,27.29599571,22.11876522
,,,,,,
09/08/2018,8.539170265,67.9910965,13.47791767,108.5827026,27.22423553,22.11992188
,,,,,,
10/08/2018,8.515494347,67.87258148,13.36918068,109.3713074,27.01614952,22.12107859
,,,,,,
13/08/2018,8.491818428,67.82518768,13.29477978,109.1446686,26.91568756,22.12454911
,,,,,,
14/08/2018,8.499709129,67.94372559,13.38635254,108.8999634,27.05202293,22.12570606
